Dataset,Test_Accuracy,CV_Accuracy_Mean,CV_Accuracy_Std,Train_Time(s),Pred_Time(s),Total_Emails
enron1,0.961352657004831,0.9601702501424981,0.00411657511505463,0.42,0.051,5172
enron2,0.9837883959044369,0.9899269315628251,0.0026103086660386053,0.64,0.078,5857
enron3,0.9900271985494107,0.9876625866100209,0.0037030944474641054,1.05,0.1269,5512
enron4,0.9825,0.9833333333333332,0.003118047822311607,0.6,0.0645,6000
enron5,0.9942028985507246,0.9940096618357488,0.0031986367840090755,0.51,0.0683,5175
enron6,0.9858333333333333,0.9893333333333333,0.0020000000000000052,0.71,0.0857,6000
